slug,name,state,fees,avgSalary,nirf,nirf_number,weight,,,,,,,,,,,,
iiit-allahabad,IIIT Allahabad,Uttar-Pradesh,924800,3300000,87,87,85,,,,,,,,,,,,
iiitdm-kancheepuram,IIITDM Kancheepuram,Tamil-Nadu,720000,937000,151-200,175.5,52,,,,,,,,,,,,
iiitdm-jabalpur,IIITDM Jabalpur,Madhya-Pradesh,8000000,1295000,101-150,125.5,62,,,,,,,,,,,,
iiit-manipur,IIIT Manipur,Manipur,1055200,870000,,500,6,,,,,,,,,,,,
iiit-tiruchirapalli,IIIT Tiruchirapalli,Tamil-Nadu,1067000,1928000,,500,15,,,,,,,,,,,,
iiit-lucknow,IIIT Lucknow,Uttar-Pradesh,1170000,3371000,,500,27,,,,,,,,,,,,
iiit-dharwad,IIIT Dharwad,Karnataka,1370000,1200000,151-200,175.5,54,,,,,,,,,,,,
iiitdm-kurnool,IIITDM Kurnool,Andhra-Pradesh,816000,764000,,500,5,,,,,,,,,,,,
iiit-kottayam,IIIT Kottayam,Kerala,1174000,1191000,,500,9,,,,,,,,,,,,
iiit-ranchi,IIIT Ranchi,Jharkhand,1104000,1236000,151-200,175.5,55,,,,,,,,,,,,
iiit-nagpur,IIIT Nagpur,Maharashtra,934000,1470000,151-200,175.5,57,,,,,,,,,,,,
iiit-pune,IIIT Pune,Maharashtra,991000,1712000,201-300,250.5,48,,,,,,,,,,,,
bit-mesra,BIT Mesra,Jharkhand,1677000,1177000,51,51,72,,,,,,,,,,,,
gkv-haridwar,GKV Haridwar,Uttarakhand,795000,390000,101-150,125.5,55,,,,,,,,,,,,
iiest-shibpur,IIEST Shibpur,West-Bengal,804000,841000,54,54,68,,,,,,,,,,,,
iitram-ahmedabad,IITRAM Ahmedabad,Gujarat,944000,485000,201-300,250.5,38,,,,,,,,,,,,
tssot-aus,TSSOT,Assam,586000,485000,201-300,250.5,38,,,,,,,,,,,,
nsut-delhi,NSUT Delhi,Delhi,1129000,1800000,70,70,74,,,,,,,,,,,,
dtu-delhi,DTU Delhi,Delhi,946800,1300000,30,30,76,,,,,,,,,,,,
igdtuw-delhi,IGDTUW Delhi,Delhi,1041000,2525000,201-300,250.5,55,,,,,,,,,,,,
iiit-delhi,IIIT Delhi,Delhi,948000,1951000,63,63,77,,,,,,,,,,,,
aiims-delhi,AIIMS Delhi,Delhi,6080,2500000,1,1,90,,,,,,,,,,,,
aiims-bhopal,AIIMS Bhopal,Madhya-Pradesh,6080,1800000,25,25,81,,,,,,,,,,,,
aiims-bhubaneswar,AIIMS Bhubaneswar,Odisha,5856,1400000,14,14,79,,,,,,,,,,,,
aiims-jodhpur,AIIMS Jodhpur,Rajasthan,6080,1600000,19,19,80,,,,,,,,,,,,
aiims-patna,AIIMS Patna,Bihar,5856,1236000,27,27,76,,,,,,,,,,,,
aiims-raipur,AIIMS Raipur,Chhattisgarh,6080,1300000,31,31,76,,,,,,,,,,,,
aiims-rishikesh,AIIMS Rishikesh,Uttarakhand,6080,1500000,13,13,80,,,,,,,,,,,,
aiims-nagpur,AIIMS Nagpur,Maharashtra,6075,650000,N/A,500,4,,,,,,,,,,,,
aiims-bathinda,AIIMS Bathinda,Punjab,8140,1300000,N/A,500,10,,,,,,,,,,,,
aiims-deoghar,AIIMS Deoghar,Jharkhand,8840,410000,N/A,500,2,,,,,,,,,,,,
aiims-gorakhpur,AIIMS Gorakhpur,Uttar-Pradesh,5293,900000,N/A,500,6,,,,,,,,,,,,
aiims-kalyani,AIIMS Kalyani,West-Bengal,6200,800000,N/A,500,6,,,,,,,,,,,,
aiims-mangalagiri,AIIMS Mangalagiri,Andhra-Pradesh,5856,750000,N/A,500,5,,,,,,,,,,,,
aiims-rajkot,AIIMS Rajkot,Gujarat,5860,700000,N/A,500,5,,,,,,,,,,,,
aiims-guwahati,AIIMS Guwahati,Assam,5880,820000,N/A,500,6,,,,,,,,,,,,
aiims-bilaspur,AIIMS Bilaspur,Chhattisgarh,5980,780000,N/A,500,5,,,,,,,,,,,,
aiims-bibinagar,AIIMS Bibinagar,Telangana,5856,600000,N/A,500,4,,,,,,,,,,,,
iim-ahmedabad,IIM Ahmedabad,Gujarat,2750000,3550000,1,1,99,,,,,,,,,,,,
iim-bangalore,IIM Bangalore,Karnataka,2300000,3488000,2,2,98,,,,,,,,,,,,
iim-lucknow,IIM Lucknow,Uttar-Pradesh,2250000,3150000,5,5,95,,,,,,,,,,,,
iim-kozhikode,IIM Kozhikode,Kerala,2200000,3000000,3,3,94,,,,,,,,,,,,
iim-indore,IIM Indore,Madhya-Pradesh,2100000,3000000,8,8,93,,,,,,,,,,,,
iim-shillong,IIM Shillong,Meghalaya,1900000,2100000,38,38,81,,,,,,,,,,,,
